index,id,gender,year,major_type,major_color,style,country
189,40143,Girls,2013,Tops,Blue,民族风服装,Brazil
190,10633,Men,2011,Formal Shoes,Brown,朋克风服装,China
191,24406,Women,2013,Kurtas,Red,通勤风服装,Canada
192,4716,Unisex,2016,Watches,Black,田园风服装,United States of America
193,21174,Women,2011,Tops,Beige,简约风服装,United States of America
194,15341,Women,2011,Shorts,Pink,民族风服装,United States of America
195,52486,Women,2015,Camisoles,Maroon,简约风服装,China
196,53554,Men,2016,Boxers,Multi,民族风服装,Australia
197,14293,Men,2010,Tshirts,Blue,嘻哈风服装,United States of America
198,47366,Women,2018,Handbags,Blue,田园风服装,Thailand
199,6041,Men,2014,Tshirts,Navy Blue,嘻哈风服装,Australia
200,23623,Girls,2011,Tops,Pink,嘻哈风服装,United States of America
201,17416,Men,2009,Sports Shoes,Black,洛丽塔风服装,China
202,9835,Women,2010,Tshirts,Grey,嘻哈风服装,Russia
203,29319,Unisex,2019,Backpacks,Red,嘻哈风服装,United States of America
204,7193,Women,2009,Jeans,Black,简约风服装,United States of America
205,12958,Men,2009,Sports Shoes,Black,朋克风服装,United States of America
206,27283,Women,2018,Kurtas,Magenta,通勤风服装,United States of America
207,30234,Men,2012,Flip Flops,Black,简约风服装,United States of America
208,9009,Women,2015,Handbags,Brown,田园风服装,United States of America
209,3533,Men,2009,Tshirts,Navy Blue,嘻哈风服装,Korea
210,42614,Women,2016,Jewellery Set,Gold,民族风服装,Canada
211,12164,Women,2018,Dupatta,Orange,简约风服装,Germany
212,26351,Women,2016,Watches,White,田园风服装,Argentina
213,17624,Men,2014,Track Pants,Navy Blue,简约风服装,Australia
214,47154,Girls,2015,Capris,Black,可爱系服装,United States of America
215,35574,Men,2013,Flip Flops,Red,朋克风服装,South Africa
216,46086,Women,2017,Sports Shoes,Lavender,洛丽塔风服装,Argentina
217,51031,Women,2017,Bra,White,简约风服装,United States of America
218,13284,Men,2011,Shorts,Black,民族风服装,Canada
219,54543,Men,2019,Sports Shoes,White,中性风服装,Russia
220,55491,Women,2017,Lip Gloss,Brown,民族风服装,India
221,26163,Men,2012,Trousers,Grey,简约风服装,India
222,3701,Women,2019,Tshirts,Black,简约风服装,United States of America
223,29917,Men,2016,Watches,White,欧美风服装,South Africa
224,42426,Women,2010,Kurtas,Sea Green,民族风服装,France
225,32751,Men,2012,Casual Shoes,Black,街头风服装,Spain
226,56214,Women,2016,Earrings,Gold,田园风服装,Italy
227,10401,Women,2009,Tops,Purple,田园风服装,Italy
228,40371,Women,2010,Jeans,Navy Blue,通勤风服装,Russia
229,21346,Men,2013,Sunglasses,Gold,嘻哈风服装,United States of America
230,45603,Men,2018,Formal Shoes,Black,朋克风服装,China
231,4524,Men,2009,Sports Shoes,Black,民族风服装,Mexico
232,37223,Women,2009,Tops,Blue,简约风服装,Italy
233,53766,Men,2010,Tshirts,White,街头风服装,England
234,25520,Girls,2014,Tops,White,民族风服装,Germany
235,32597,Women,2012,Tops,Black,简约风服装,Mexico
236,58974,Men,2017,Deodorant,Gold,朋克风服装,India
237,33445,Women,2018,Wallets,Black,简约风服装,Spain
238,57100,Women,2019,Tops,Pink,简约风服装,Germany
239,36137,Women,2012,Sports Shoes,Pink,朋克风服装,Russia
240,41859,Men,2016,Sandals,Black,民族风服装,Russia
241,21180,Men,2009,Flip Flops,Black,朋克风服装,Italy
242,39943,Men,2013,Casual Shoes,Brown,朋克风服装,United States of America
243,52472,Women,2015,Bath Robe,Pink,简约风服装,United States of America
244,58148,Unisex,2012,Caps,White,民族风服装,Canada
245,20052,Women,2011,Mufflers,Yellow,田园风服装,France
246,5630,Women,2011,Flip Flops,Blue,通勤风服装,Canada
247,44517,Men,2013,Flip Flops,Brown,简约风服装,Japan
248,47392,Women,2018,Handbags,Beige,田园风服装,Italy
249,50325,Women,2019,Kurtas,Navy Blue,简约风服装,India
250,8913,Men,2019,Sports Shoes,White,街头风服装,Russia
251,16530,Men,2010,Shirts,Red,田园风服装,United States of America
252,22705,Men,2011,Casual Shoes,White,简约风服装,Australia
253,7167,Men,2011,Shirts,Purple,简约风服装,France
254,46240,Women,2010,Tunics,White,简约风服装,South Africa
255,27277,Women,2018,Kurtas,Green,欧美风服装,United States of America
256,13042,Women,2013,Flats,Brown,朋克风服装,Germany
257,6889,Women,2011,Jackets,Cream,通勤风服装,India
258,31312,Women,2019,Kurtas,Peach,通勤风服装,Germany
259,12190,Men,2019,Shirts,Blue,简约风服装,Brazil
260,55657,Women,2015,Heels,Gold,民族风服装,Russia
261,19578,Women,2014,Tops,Purple,简约风服装,Italy
262,27879,Women,2015,Tops,Blue,通勤风服装,France
263,34452,Women,2014,Flats,Copper,中性风服装,Russia
264,6287,Men,2011,Tshirts,Yellow,简约风服装,Brazil
265,7355,Men,2014,Tshirts,Navy Blue,嘻哈风服装,United States of America
266,46072,Men,2012,Belts,Black,民族风服装,United States of America
267,22537,Men,2013,Sandals,Tan,民族风服装,Russia
268,28831,Women,2017,Briefs,Brown,民族风服装,United States of America
269,43500,Men,2015,Tshirts,White,简约风服装,Germany
270,2627,Women,2010,Flats,Silver,朋克风服装,India
271,27045,Women,2009,Clutches,Off White,街头风服装,United States of America
272,13270,Women,2009,Tops,White,简约风服装,India
273,18698,Men,2016,Briefs,Grey,简约风服装,Germany
274,55465,Women,2017,Lipstick,Red,洛丽塔风服装,United States of America
275,26197,Men,2017,Perfume and Body Mist,Green,街头风服装,India
276,31120,Girls,2017,Tops,Pink,简约风服装,Australia
277,25712,Unisex,2017,Caps,Blue,民族风服装,Russia
278,11527,Men,2010,Tshirts,Olive,嘻哈风服装,China
279,14869,Men,2019,Wallets,Black,民族风服装,India
280,40385,Women,2009,Tops,Yellow,简约风服装,United States of America
281,15187,Men,2014,Tshirts,White,简约风服装,Spain
282,5402,Women,2009,Sports Shoes,Purple,朋克风服装,Russia
283,44725,Women,2015,Flip Flops,Orange,通勤风服装,Singapore
284,14055,Men,2009,Shirts,Green,简约风服装,United States of America
285,20260,Men,2018,Tshirts,Navy Blue,嘻哈风服装,Canada
286,7731,Men,2011,Flip Flops,Grey,民族风服装,England
287,22153,Men,2009,Sandals,Brown,民族风服装,United States of America
288,43958,Men,2012,Sandals,Olive,田园风服装,Canada
289,28469,Women,2010,Tshirts,Pink,民族风服装,Australia
290,50573,Men,2016,Trunk,Charcoal,简约风服装,England
291,34036,Boys,2009,Shirts,Blue,民族风服装,China
292,55001,Women,2017,Lipstick,Pink,田园风服装,Germany
293,8779,Men,2019,Shirts,Navy Blue,通勤风服装,India
294,3391,Women,2015,Handbags,White,田园风服装,Japan
295,43164,Men,2016,Watches,Black,洛丽塔风服装,Korea
296,2243,Men,2010,Tshirts,White,通勤风服装,Canada
297,30496,Women,2014,Bra,Purple,街头风服装,Russia
298,27421,Women,2015,Lounge Pants,Blue,简约风服装,Canada
299,57756,Women,2017,Face Wash and Cleanser,Green,学院风服装,Australia
300,33213,Women,2019,Tops,Magenta,民族风服装,Brazil
301,39729,Women,2012,Tops,Olive,简约风服装,United States of America
302,25376,Men,2016,Innerwear Vests,Grey,简约风服装,United States of America
303,11143,Men,2009,Shirts,Black,通勤风服装,Italy
304,56684,Women,2012,Sarees,Beige,通勤风服装,Japan
305,4988,Women,2009,Dresses,White,民族风服装,Thailand
306,44341,Men,2012,Tshirts,Blue,嘻哈风服装,Canada
307,14431,Women,2012,Heels,Black,通勤风服装,Russia
308,20604,Women,2015,Handbags,Brown,朋克风服装,United States of America
309,52224,Women,2013,Necklace and Chains,Silver,田园风服装,Canada
310,45293,Women,2016,Watches,Red,田园风服装,France
311,36761,Men,2016,Watches,Black,洛丽塔风服装,United States of America
312,33021,Women,2015,Kurtas,Cream,田园风服装,Germany
313,25144,Women,2015,Handbags,Orange,田园风服装,Argentina
314,11371,Men,2010,Shirts,Black,简约风服装,Canada
315,41401,Women,2009,Tops,White,简约风服装,Singapore
316,14603,Men,2019,Socks,Grey,简约风服装,United States of America
317,37481,Women,2016,Watches,White,田园风服装,France
318,5254,Unisex,2015,Duffel Bag,Red,嘻哈风服装,Mexico
319,44173,Women,2017,Perfume and Body Mist,Pink,街头风服装,England
320,25978,Women,2017,Perfume and Body Mist,Pink,洛丽塔风服装,Canada
321,4386,Men,2009,Tshirts,Grey,嘻哈风服装,Thailand
322,51693,Unisex,2013,Sunglasses,Brown,朋克风服装,United States of America
323,16154,Men,2011,Formal Shoes,Black,朋克风服装,France
324,22361,Men,2015,Sports Sandals,Navy Blue,民族风服装,Singapore
325,29789,Men,2013,Tshirts,Pink,嘻哈风服装,Argentina
326,19920,Unisex,2015,Backpacks,Black,嘻哈风服装,China
327,7503,Men,2018,Tshirts,Blue,嘻哈风服装,China
328,46624,Men,2017,Deodorant,Grey,街头风服装,United States of America
329,34204,Men,2013,Track Pants,Navy Blue,简约风服装,Canada
330,17086,Women,2015,Wallets,Orange,田园风服装,Brazil
331,50741,Men,2018,Casual Shoes,Black,朋克风服装,Canada
332,55233,Women,2019,Foundation and Primer,Skin,街头风服装,India
333,13426,Men,2009,Tshirts,Red,简约风服装,South Africa
334,43356,Women,2017,Sports Shoes,Charcoal,朋克风服装,France
335,28207,Men,2016,Sunglasses,Black,中性风服装,Canada
336,13846,Men,2010,Shirts,Blue,通勤风服装,Mexico
337,12994,Boys,2018,Sports Shoes,Black,朋克风服装,Russia
338,46278,Women,2009,Tunics,Red,民族风服装,Russia
339,16508,Men,2010,Jeans,Blue,简约风服装,Brazil
340,18492,Men,2011,Flip Flops,Blue,洛丽塔风服装,Thailand
341,19540,Men,2014,Sweaters,Blue,简约风服装,India
342,7963,Men,2019,Tshirts,White,简约风服装,United States of America
343,8117,Men,2016,Watches,Black,朋克风服装,India
344,49230,Men,2016,Socks,Black,嘻哈风服装,Singapore
345,39147,Women,2018,Kurta Sets,Purple,民族风服装,France
346,36933,Women,2017,Perfume and Body Mist,Purple,朋克风服装,Thailand
347,57138,Women,2017,Trousers,Brown,简约风服装,United States of America
348,20856,Men,2014,Casual Shoes,Black,朋克风服装,United States of America
349,41861,Men,2016,Sandals,Black,田园风服装,Australia
350,5608,Men,2011,Sandals,Black,民族风服装,United States of America
351,58170,Women,2013,Clutches,Red,简约风服装,United States of America
352,53598,Men,2016,Free Gifts,Black,田园风服装,Thailand
353,15983,Men,2014,Shirts,Burgundy,简约风服装,Brazil
354,39375,Women,2016,Watches,Silver,田园风服装,Germany
355,14851,Women,2011,Wallets,Coffee Brown,街头风服装,Korea
356,59290,Men,2016,Watches,Black,欧美风服装,Italy
357,52678,Men,2016,Watches,Black,民族风服装,South Africa
358,20258,Men,2011,Tshirts,Brown,简约风服装,South Africa
359,47198,Men,2010,Sandals,Brown,通勤风服装,Italy
360,27841,Men,2017,Belts,White,朋克风服装,Argentina
361,28035,Men,2016,Briefs,Grey Melange,简约风服装,United States of America
362,31924,Women,2014,Handbags,Black,嘻哈风服装,Thailand
363,26993,Women,2019,Jeans,Blue,简约风服装,United States of America
364,13248,Men,2019,Trousers,Brown,简约风服装,United States of America
365,43538,Women,2009,Tops,Blue,简约风服装,Russia
366,8325,Boys,2014,Tshirts,Yellow,民族风服装,United States of America
367,31118,Girls,2013,Tops,Red,简约风服装,Russia
368,19772,Men,2014,Casual Shoes,Blue,简约风服装,Canada
369,46876,Men,2012,Socks,Grey,朋克风服装,Singapore
370,5862,Men,2018,Tshirts,Black,简约风服装,Thailand
371,39711,Men,2016,Watches,Black,欧美风服装,United States of America
372,14409,Women,2010,Heels,White,民族风服装,Canada
373,58726,Men,2009,Tshirts,Grey,简约风服装,United States of America
374,44379,Men,2017,Perfume and Body Mist,Black,民族风服装,Korea
375,11947,Men,2013,Sandals,Olive,欧美风服装,Russia
376,36759,Men,2016,Watches,White,洛丽塔风服装,Mexico
377,51499,Women,2012,Jeans,Blue,简约风服装,Canada
378,29583,Women,2014,Flats,Silver,可爱系服装,United States of America
379,55805,Women,2017,Night suits,Pink,简约风服装,Canada
380,7709,Women,2014,Jeans,Black,简约风服装,Italy
381,28451,Women,2010,Track Pants,Black,简约风服装,Canada
382,43960,Men,2012,Shirts,Grey,通勤风服装,United States of America
383,8741,Men,2018,Shirts,Navy Blue,田园风服装,Russia
384,55039,Women,2017,Lipstick,Brown,民族风服装,India
385,19316,Unisex,2011,Backpacks,Grey,民族风服装,Canada
386,27419,Women,2015,Lounge Pants,Black,简约风服装,Russia
387,34832,Men,2012,Sports Shoes,White,朋克风服装,Canada
388,23885,Men,2012,Sports Shoes,Grey,街头风服装,Russia
389,19918,Unisex,2015,Backpacks,Black,街头风服装,Russia
390,22359,Men,2014,Shirts,Blue,简约风服装,Canada
391,19124,Women,2009,Flip Flops,Pink,民族风服装,Canada
392,16950,Men,2016,Sunglasses,Brown,田园风服装,Mexico
393,49654,Women,2010,Skirts,Grey,洛丽塔风服装,France
394,48786,Women,2013,Pendant,Silver,民族风服装,Brazil
395,2049,Men,2010,Tshirts,White,嘻哈风服装,Mexico
396,17882,Men,2016,Innerwear Vests,White,嘻哈风服装,United States of America
397,44977,Men,2016,Watches,Silver,欧美风服装,Russia
398,33019,Women,2013,Kurtas,Yellow,田园风服装,Japan
399,41439,Men,2018,Sports Shoes,Black,朋克风服装,United States of America
400,39523,Unisex,2012,Trolley Bag,Black,田园风服装,India
401,52812,Men,2013,Wallets,Black,田园风服装,Canada
402,11349,Men,2017,Jeans,Blue,简约风服装,India
403,24892,Men,2011,Tshirts,Black,简约风服装,Singapore
404,58514,Women,2014,Tops,Grey,简约风服装,Italy
405,33825,Women,2013,Sports Shoes,Silver,嘻哈风服装,Thailand
406,25940,Women,2013,Scarves,Yellow,朋克风服装,Singapore
407,38637,Men,2012,Tshirts,Red,嘻哈风服装,Brazil
408,5896,Men,2010,Casual Shoes,Black,朋克风服装,United States of America
409,4944,Men,2010,Shirts,White,田园风服装,Germany
410,10861,Men,2011,Tshirts,White,简约风服装,Brazil
411,59600,Women,2009,Sarees,Rust,民族风服装,England
412,42846,Women,2009,Handbags,Multi,民族风服装,Argentina
413,35128,Women,2010,Bracelet,Purple,朋克风服装,India
414,47508,Men,2016,Briefs,Black,街头风服装,England
415,54923,Girls,2012,Capris,Olive,朋克风服装,United States of America
416,43994,Women,2017,Deodorant,Pink,民族风服装,United States of America
417,17278,Men,2014,Tshirts,Grey,嘻哈风服装,Thailand
418,31588,Men,2018,Tshirts,Maroon,嘻哈风服装,England
419,49492,Men,2015,Casual Shoes,Maroon,朋克风服装,Canada
420,18230,Men,2011,Tshirts,White,嘻哈风服装,Singapore
421,23871,Men,2014,Tshirts,Grey,通勤风服装,Korea
422,9667,Men,2011,Shirts,Purple,通勤风服装,Japan
423,16198,Men,2011,Tracksuits,Black,简约风服装,Russia
424,3953,Women,2011,Tshirts,Red,民族风服装,United States of America
425,29745,Men,2016,Watches,Black,嘻哈风服装,France
426,28697,Women,2012,Kurtas,Black,简约风服装,France
427,12538,Men,2010,Track Pants,Blue,简约风服装,Mexico
428,8587,Men,2011,Shirts,Red,简约风服装,Russia
429,42248,Women,2017,Tops,Pink,简约风服装,Italy
430,48772,Women,2013,Pendant,Silver,洛丽塔风服装,United States of America
431,17876,Men,2016,Innerwear Vests,Grey,简约风服装,Italy
432,30668,Men,2013,Sunglasses,Black,田园风服装,India
433,9455,Men,2009,Shirts,Red,简约风服装,Canada
434,18002,Women,2014,Capris,Black,简约风服装,Japan
435,44983,Women,2013,Watches,Silver,田园风服装,United States of America
436,38405,Women,2013,Belts,White,朋克风服装,Canada
437,53934,Women,2018,Handbags,Brown,田园风服装,Japan
438,1638,Unisex,2010,Swimwear,Blue,朋克风服装,India
439,25188,Women,2015,Handbags,Brown,田园风服装,Singapore
440,24866,Men,2012,Belts,Black,民族风服装,Canada
441,53108,Women,2016,Earrings,Silver,百搭系服装,United States of America
442,21528,Women,2015,Handbags,Copper,朋克风服装,Russia
443,59432,Women,2012,Handbags,Black,田园风服装,Canada
444,32903,Women,2009,Shorts,Red,简约风服装,Korea
